Topic,Count,Name,Representation,Representative_Docs
9,32,9_trans_herself_she_label,"['trans', 'herself', 'she', 'label', 'her', 'yta', 'to', 'girl', 'identity', 'is']","[""NTA if her goal is to be female, and she has made progress towards it then at someppint she needs to drop the trans tag. Now thats not to say she shouldn't mention it at all! The transition will always be a part of her life and if brought up in conversation she should feel as if she is able tofreely talk about it. However to label herself as a 'trans girl' would suggest to me and anyone else talking to her that she still doubts it! She should talk about herself as what she percieves herself as or wants to be. I ask the open question: if you have put in all that work to get into an identity and body you truly feel comfortable with, wouldn't you want everyone to know you simply by the gender you've transitioned into?"", ""NTA - I'm trans-male, meaning I'm transitioning from Female to Male. I am not A trans male though, I'm a male. I don't like when people obsess over the trans part. Trans just means transitioning genders. Which can be important to people but it doesn't need to be their entire identity. They're transitioning to female, cool, great, they don't need to bring up the fact that they're trans all the time when it's an obvious fact and everyone already knows. It kind of sounds like they're more trying to convince themself than anything else. Edit: She does need to specify that she's trans female when it comes to meeting new people though, especially potential romantic partners, because it could be dangerous for her otherwise. However, if she's mostly doing it in the friend group/around people who already know then my original statement still stands"", 'Mildly YTA. I can understand why you would think what you thought. If she is constantly saying she isn\'t ""_enough_ like a girl,"" then sure, from your perspective it looks like adding the trans label would be distancing herself from what she says she wants to be. When she\'s identifying who she is, the trans label is present, front and center; when she is discussing what she feels she isn\'t enough like, the trans label is conspicuously absent. You\'re not crazy for noticing that disconnect, in the context that she is constantly talking about it from that angle. That said, however, I would suggest you don\'t try to counsel her on what to label herself. That\'s her job, not yours. She has to figure it out her labels for herself; you don\'t have to advise her. I don\'t think you would be an asshole if you told her, ""okay, I don\'t understand, because I\'m not going through what you are. But it\'s not okay to swear at me over not understanding. You expect me to be civil to you, I expect the same. If you keep blasting me with profanity I\'m not going to be willing to discuss it with you. If you keep accusing me of not actually being your friend, eventually I will agree with you. ""']"
10,29,10_school_dad_your_hard,"['school', 'dad', 'your', 'hard', 'life', 'friends', 'girls', 'stuff', 'in', 'little']","[""YTA, but not a huge one. It's expected at your age. Your dad is busting his ass to provide a life for you, and sending you to an expensive private school. He cares about his daughter and wants to provide her the best possible opportunities. He sounds like an old-school Vietnamese guy, my guess is either first or second generation American. Your parents sound like the perfect embodiment of the American dream, tbh - to work hard in order to provide a better life for your kids than you had and to pull yourself up by the bootstraps. In the end, the petty drama of being a teenager will mean nothing. Learn to appreciate what you have. They're mostly doing it for you. Who honestly cares what the spoiled daughters of wealthy people think of your family? You'll get a lot further in life by learning the hard-working and frugal values of your parents than by trying to emulate the vanity of your classmates. As far as smoking, your dad works hard, and if he wants to smoke, if that brings him a little sense of satisfaction, he should be entitled to do it. You'll get through it, and be better for it in the end. Teenagers are stupid, so try not to care what they think so much."", ""YTA, but not a huge one. It's expected at your age. Your dad is busting his ass to provide a life for you, and sending you to an expensive private school. He cares about his daughter and wants to provide her the best possible opportunities. He sounds like an old-school Vietnamese guy, my guess is either first or second generation American. Your parents sound like the perfect embodiment of the American dream, tbh - to work hard in order to provide a better life for your kids than you had and to pull yourself up by the bootstraps. In the end, the petty drama of being a teenager will mean nothing. Learn to appreciate what you have. They're mostly doing it for you. Who honestly cares what the spoiled daughters of wealthy people think of your family? You'll get a lot further in life by learning the hard-working and frugal values of your parents than by trying to emulate the vanity of your classmates. As far as smoking, your dad works hard, and if he wants to smoke, if that brings him a little sense of satisfaction, he should be entitled to do it. You'll get through it, and be better for it in the end. Teenagers are stupid, so try not to care what they think so much."", ""YTA, but not a huge one. It's expected at your age. Your dad is busting his ass to provide a life for you, and sending you to an expensive private school. He cares about his daughter and wants to provide her the best possible opportunities. He sounds like an old-school Vietnamese guy, my guess is either first or second generation American. Your parents sound like the perfect embodiment of the American dream, tbh - to work hard in order to provide a better life for your kids than you had and to pull yourself up by the bootstraps. In the end, the petty drama of being a teenager will mean nothing. Learn to appreciate what you have. They're mostly doing it for you. Who honestly cares what the spoiled daughters of wealthy people think of your family? You'll get a lot further in life by learning the hard-working and frugal values of your parents than by trying to emulate the vanity of your classmates. As far as smoking, your dad works hard, and if he wants to smoke, if that brings him a little sense of satisfaction, he should be entitled to do it. You'll get through it, and be better for it in the end. Teenagers are stupid, so try not to care what they think so much.""]"
11,29,11_parking_manager_employee_the,"['parking', 'manager', 'employee', 'the', 'authorize', 'hotel', 'policy', 'expect', 'extra', 'speak']","['YTA - not for asking to speak to the manager but yes for your entitlement. I would absolutely be frustrated too if it had never been an issue for years and suddenly was, but you have to understand that they were doing you a favor and breaking policy for you in the past and now they are following policy. You can\'t expect every employee to know who you are and it\'s annoying af when people expect special treatment just because you\'ve gotten it in the past. Also, the employee was right. It doesn\'t matter how much you spend at the hotel, parking is a separate fee. You can\'t go to the grocery store and say ""well I spent $25k here last year, so you have to give me that bottle of wine for free!"" It just doesn\'t work that way. Next time, you should *calmly and kindly* ask to speak to the manager and ask why it is an issue after it hasn\'t been for years, don\'t argue with an employee who didn\'t make the rules and has no idea why a random person would get free parking.', 'YTA - not for asking to speak to the manager but yes for your entitlement. I would absolutely be frustrated too if it had never been an issue for years and suddenly was, but you have to understand that they were doing you a favor and breaking policy for you in the past and now they are following policy. You can\'t expect every employee to know who you are and it\'s annoying af when people expect special treatment just because you\'ve gotten it in the past. Also, the employee was right. It doesn\'t matter how much you spend at the hotel, parking is a separate fee. You can\'t go to the grocery store and say ""well I spent $25k here last year, so you have to give me that bottle of wine for free!"" It just doesn\'t work that way. Next time, you should *calmly and kindly* ask to speak to the manager and ask why it is an issue after it hasn\'t been for years, don\'t argue with an employee who didn\'t make the rules and has no idea why a random person would get free parking.', 'YTA - not for asking to speak to the manager but yes for your entitlement. I would absolutely be frustrated too if it had never been an issue for years and suddenly was, but you have to understand that they were doing you a favor and breaking policy for you in the past and now they are following policy. You can\'t expect every employee to know who you are and it\'s annoying af when people expect special treatment just because you\'ve gotten it in the past. Also, the employee was right. It doesn\'t matter how much you spend at the hotel, parking is a separate fee. You can\'t go to the grocery store and say ""well I spent $25k here last year, so you have to give me that bottle of wine for free!"" It just doesn\'t work that way. Next time, you should *calmly and kindly* ask to speak to the manager and ask why it is an issue after it hasn\'t been for years, don\'t argue with an employee who didn\'t make the rules and has no idea why a random person would get free parking.']"
12,27,12_delete_phone_teasing_deleted,"['delete', 'phone', 'teasing', 'deleted', 'asked', 'them', 'learn', 'wouldn', 'stop', 'yta']","[""YTA for violating the privacy of your friend's phone. You should have asked first and made it clear why and how much it meant to you. If they still wouldn't delete them, that would make them a dick. It's understandable that you wanted the pictures deleted, but think of it this way: if someone got hold of your phone and deleted something, or downloaded something, or messed with it, wouldn't you consider that a jerk move regardless of their motivation?"", ""YTA for violating the privacy of your friend's phone. You should have asked first and made it clear why and how much it meant to you. If they still wouldn't delete them, that would make them a dick. It's understandable that you wanted the pictures deleted, but think of it this way: if someone got hold of your phone and deleted something, or downloaded something, or messed with it, wouldn't you consider that a jerk move regardless of their motivation?"", ""YTA for violating the privacy of your friend's phone. You should have asked first and made it clear why and how much it meant to you. If they still wouldn't delete them, that would make them a dick. It's understandable that you wanted the pictures deleted, but think of it this way: if someone got hold of your phone and deleted something, or downloaded something, or messed with it, wouldn't you consider that a jerk move regardless of their motivation?""]"
13,26,13_him_he_like_acting,"['him', 'he', 'like', 'acting', 'his', 'nta', 'to', 'old', 'clean', 'is']","[""NTA you have every right to feel this way. He needs to step up and take care of a few things to keep the house a little more clean. I get it, I'm not the cleanest person but at the same time he needs to understand that a few little things would make you happy and also help around the house. To me it sounds like you guys need to sit down and have a conversation about it before it gets to both of you. Let him have some small victories such as maybe paper plates at the computer. But also give some responsibility to pick up his towel and maybe sweep the house. If he has to sweep then he might understand that things not picked up he has to pick them up to sweep."", ""NTA He's right your aren't his mother but he's forcing you to treat him as such by acting like a child. I'm curious how old you two are and if he still has some growing up to do or if this is now a long ingrained pattern of behavior. I would sit down with him and tell him that it bothers you that he calls you his mother because you are being put in a position to act that way. Set some boundaries or rules for the house and if you can't agree it might be time to not live together anymore."", ""NTA. I think this is a big red flag, Sweetie. If you're taking care of him now - just like his mommy - don't kid yourself into thinking that is going to change anytime soon. Especially when you take his attitude into consideration. He clearly doesn't give a shit about cleanliness or neatness and it's very obvious he was raised with no manners whatsoever. He complained that you are treating him like a five year old?? That's because he is behaving like one!! Contrary to what too many women think, you are not going to change him. So you've got a choice. You can take this as a sign and move on without him. Or you can accept the fact that you *ARE* his mommy (and his personal maid) and will be for the rest of his life.""]"
14,25,14_sister_wife_your_x200b,"['sister', 'wife', 'your', 'x200b', 'don', 'way', 'on', 'it', 'you', 'divorce']","[""YTA. It sounds an awful lot like your wife may be depressed. And if this is how she's always been, you really don't get to complain because you knew what you were getting into. If you don't love your wife anymore and/or don't want to stay married, then get a divorce, but don't go after her sister. You will destroy their relationship, wreck your chances at having a decent co-parenting relationship with your wife, and basically it would make you a huge scumbag. Find someone else after you are no longer married."", ""YTA if you're asking whether or not to pursue it. &#x200B; You can't control who you fall in love with, but it's entirely within your control to act or not act on it. You know she doesn't feel the same way and would never betray her sister anyways, so don't put her in that position. Actively work on getting past this and moving on. Doesn't sound like you're terribly in love with your wife, nor are you that interested in helping her work through these things that seems to be dragging her down, so why continue to waste her time? Have a frank conversation with her and look at options on how to proceed either together or separately. Let the sister thing go - it will do you NO favours and damage your relationship with both of them as a result. &#x200B; I have been the sister in this scenario and if there's one thing I ever wished I didn't know in my life it would be that my sister's ex-fiance was fixated on me. It made me feel filthy, it made me question every interactions I'd ever had with him and it made me feel responsible (in a way) for their relationship crumbling- but it didn't (and I see that now and my sister never once made me feel that way- thank goodness). It also destroyed my trust in him and others. I looked at him like a brother and treated him like so -- finding out that he felt an entirely different way about me made me feel violated in a way because I'd allowed myself to trust him and be vulnerable with him. &#x200B; You'll destroy both of them with this information. If you care about them- don't do it. Please."", ""YTA if you're asking whether or not to pursue it. &#x200B; You can't control who you fall in love with, but it's entirely within your control to act or not act on it. You know she doesn't feel the same way and would never betray her sister anyways, so don't put her in that position. Actively work on getting past this and moving on. Doesn't sound like you're terribly in love with your wife, nor are you that interested in helping her work through these things that seems to be dragging her down, so why continue to waste her time? Have a frank conversation with her and look at options on how to proceed either together or separately. Let the sister thing go - it will do you NO favours and damage your relationship with both of them as a result. &#x200B; I have been the sister in this scenario and if there's one thing I ever wished I didn't know in my life it would be that my sister's ex-fiance was fixated on me. It made me feel filthy, it made me question every interactions I'd ever had with him and it made me feel responsible (in a way) for their relationship crumbling- but it didn't (and I see that now and my sister never once made me feel that way- thank goodness). It also destroyed my trust in him and others. I looked at him like a brother and treated him like so -- finding out that he felt an entirely different way about me made me feel violated in a way because I'd allowed myself to trust him and be vulnerable with him. &#x200B; You'll destroy both of them with this information. If you care about them- don't do it. Please.""]"
15,25,15_her_she_it_hoodie,"['her', 'she', 'it', 'hoodie', 'you', 'can', 'don', 'and', 'wears', 'to']","[""YTA!! and causing her mental distress, which could be seen as abusive. this sweater gives her comfort for whatever reason and purposefully hiding it on her is fucked up. you DO NOT get to decide what she wears, she does. you're being controlling by trying to impose what you think she should wear on her. you don't own her. give her back her sweater, hope to god she doesn't break up with your for being an ass and have a REAL conversation about it. no yelling, shouting, belittingling. just a calm, cool convo to figure out what about it gives her comfort/why she feels she needs it. once she explains it, come up with some real compromises if it possible(there might not be one though). if she can't handle being without the sweater and you can't deal with her wearing it you might have to move on."", ""YTA. You are *so* TA. First of all, you don't get to dictate how your girlfriend dresses. That's not how this works. You're not entitled to tell her what to wear or how she's allowed to style her hair or who she's allowed to be friends with, and you're not entitled to forbid her to wear certain things. You're not her fuckin' boss, dude, and you need to deal with this impulse to control her. You said you were afraid it was an ex's hoodie: What if it was? Is she not allowed to keep anything that came from any previous relationships? What about photos of her from when she was seeing someone else? Or clothes she wore while she was dated someone else? Does she have to get rid of those too? Everyone has a past, and hers isn't your property. This kind of insecurity can lead to seriously toxic relationship behaviour if you don't get it in check. Case in point: You stole something that belonged to her, something that she cares a lot about, and then lied and are continuing to lie to her about it. There's something about her that you don't like, and rather than accepting it as part of the cost of being with her or just ending it and moving on with your life, you took it upon yourself to *steal from her*, from this person you claim you care about, and then *lie to her face* about it. Yeah, you're the asshole."", 'YTA. Reasons: 1. You know she feels secure with it, yet 2. you didn\'t give a rat\'s ass and removed it from her, and 3. lied to her about it. 4. You are acting insecure by being scared it is an ex\'s hoodie - so what? Is your relationship that fragile? She chooses to be with you (unless you continue to be an ass, then she might leave you) 5. You don\'t like how she looks in it. Wow. You don\'t get to have a say in what she wears - she\'s your girlfriend, not your Barbie doll. 6. Your positive suggestions to alter it and offer other hoodies was nice, but that\'s like replacing your puppy / trimming it\'s ears for looks and expecting you to be fine with it. Cool move, but a bit ""I know best I\'m trying to help you"" instead of ""I\'m trying to understand and resonate with you, then later we can think about helping"". 7. Upscale dates dressing I can understand - but you still don\'t get to say what she wears. You can even compromise and ask her to rather tie it around her waist than wearing it if she wants. Upscale dates are nerve-wrecking as heck and I understand the comfort needed. &#x200B; Honestly, I don\'t understand the fuss. This shouldn\'t even be an issue. She might have a real reason for it, like it being her dad\'s or brother\'s who passed on and not ready to talk about it. Over time, if your relationship lasts, I would suggest getting to know more about the hoody, and why she is so attached to it. And I don\'t mean that in a screaming-match way. I mean it in a way that - after you stopped bugging her about it constantly for a while - you ask, something along the lines of ""So, we never got to the story behind the hoody? You really like it, huh? / So, comforting, huh? I can see it makes for a nice blanket... what else do you like about it?"" in a nice, loving, inquisitive, friendly, maybe with a tad of joking tone. It is important to show that you really are fine with her liking it now and came to accept it as part of her - she might actually open up to you then, as she will actually trust you. Then, over time she might even need it less as you become her comfort and happy zone, but that will take time. ']"
16,23,16_mom_your_embarrassed_smoking,"['mom', 'your', 'embarrassed', 'smoking', 'age', 'normal', 'family', 'but', 'see', 'is']","[""YTA. But we were all like that at your age. That being said, I'm sure your dad is hustling and working hard to make a better life for you. Catholic school is expensive! Your family is making a huge sacrifice. It's fine to be embarrassed about the smoking, but never, ever, ever be embarrassed about someone working to make money. Reselling merchandise for a profit isn't shady. Be proud of your family and who you are. The other girls at school are assholes, too, and are gonna judge you no matter what you do. "", ""YTA. But we were all like that at your age. That being said, I'm sure your dad is hustling and working hard to make a better life for you. Catholic school is expensive! Your family is making a huge sacrifice. It's fine to be embarrassed about the smoking, but never, ever, ever be embarrassed about someone working to make money. Reselling merchandise for a profit isn't shady. Be proud of your family and who you are. The other girls at school are assholes, too, and are gonna judge you no matter what you do. "", ""YTA. But we were all like that at your age. That being said, I'm sure your dad is hustling and working hard to make a better life for you. Catholic school is expensive! Your family is making a huge sacrifice. It's fine to be embarrassed about the smoking, but never, ever, ever be embarrassed about someone working to make money. Reselling merchandise for a profit isn't shady. Be proud of your family and who you are. The other girls at school are assholes, too, and are gonna judge you no matter what you do. ""]"
17,23,17_korean_her_racist_manager,"['korean', 'her', 'racist', 'manager', 'fired', 'she', 'if', 'in', 'to', 'spanish']","['NTA. If you don\'t want her fired, don\'t report her to her manager, tho. IMHO this would be the most likely outcome. Maybe tell her something like ""a lot of people who don\'t look Korean can actually understand Korean""? (in Korean)', 'NTA - if she wants to talk shit, she gets to deal with the consequences. The fact that she\'s assuming you can\'t understand her based on your looks is both stupid and hilarious. That fact that you happen to be Korean is irrelevant; lots of people speak second (and third and fourth) languages. &#x200B; >but I don\'t want her to be in the risk of getting fired. Not your problem. She did you wrong, you\'re within your rights to let management know. If you go pushing for her to be fired over something so trivial, you\'re the asshole. It doesn\'t sound like you\'re not going to do more than notify them of the problem though. If they choose to fire her based on solely this, that may make them the assholes, but is not your problem. For all you know she\'s been a problem employee for a long time and you\'ll give them the excuse to do what they\'ve already been wanting to do based on all sorts of other shit she\'s doing. If this is her only issue if they\'re good people they\'ll talk to her about it and resolve the issue between them. The even more likely scenario is they\'ll tell you ""we\'ll look into it"" and absolutely nothing will happen beyond that. &#x200B; All of the above is not your problem though. If you go looking to put your nose into the specific manner in which they deal with their employee (fire her, don\'t fire her, train her with this specific program, etc), that\'s not your business, and you\'re the asshole. If you just let them know about the problem and let them handle it from there, you\'re not doing anything wrong. &#x200B; Edit: typos.', "">I just want to tell the manager to make her stop shit-talking in Korean but I don't want her to be in the risk of getting fired If you tell the manager, she might be fired. If you just let her know you speak Korean, she will probably stop saying mean things in Korean around you. If that is truly your goal, it seems simple to accomplish without risking her job. NTA in any case. And maybe she does deserve to be reprimanded or fired. I don't think talking to the manager serves the goal you've stated tho. ""]"
18,22,18_american_continent_they_ridiculous,"['american', 'continent', 'they', 'ridiculous', 'americans', 'call', 'are', 'smart', 'usually', 'describe']","[""NTA They are American as well or they are from the Continents of America, but when they suggest you don't call yourself American, do they give an alternate, or are you just not allowed one, which would be ridiculous."", ""NTA They are American as well or they are from the Continents of America, but when they suggest you don't call yourself American, do they give an alternate, or are you just not allowed one, which would be ridiculous."", ""NTA They are American as well or they are from the Continents of America, but when they suggest you don't call yourself American, do they give an alternate, or are you just not allowed one, which would be ridiculous.""]"
19,22,19_ex_brother_my_with,"['ex', 'brother', 'my', 'with', 'him', 'hang', 'out', 'her', 'life', 'your']","['NTA. When I got divorced, my brother asked if it was ok if he still talked to my ex husband and occasionally hung out with him. I\'d been with my ex for almost a decade at that point and my brother enjoyed having a ""bro"" to commiserate with since I\'m his only sibling. I was fine with it, I just didn\'t want my brother giving my ex husband any information on my life after him. Which he was good with. &#x200B; It didn\'t last long for him, because my ex just continually bashed me and complained to my brother how I\'d ruined his life. My brother at one point stopped him mid sentence as was like ""dude, you do realize that is my SISTER you\'re talking about, and if I hear one more nasty word about her come out of your mouth, I\'m going to kick your ass"". He stopped talking to him after that. Didn\'t mention the encounter to me for a few years. I gave him the biggest hug for standing up for me. ', 'NTA. When I got divorced, my brother asked if it was ok if he still talked to my ex husband and occasionally hung out with him. I\'d been with my ex for almost a decade at that point and my brother enjoyed having a ""bro"" to commiserate with since I\'m his only sibling. I was fine with it, I just didn\'t want my brother giving my ex husband any information on my life after him. Which he was good with. &#x200B; It didn\'t last long for him, because my ex just continually bashed me and complained to my brother how I\'d ruined his life. My brother at one point stopped him mid sentence as was like ""dude, you do realize that is my SISTER you\'re talking about, and if I hear one more nasty word about her come out of your mouth, I\'m going to kick your ass"". He stopped talking to him after that. Didn\'t mention the encounter to me for a few years. I gave him the biggest hug for standing up for me. ', 'NTA. When I got divorced, my brother asked if it was ok if he still talked to my ex husband and occasionally hung out with him. I\'d been with my ex for almost a decade at that point and my brother enjoyed having a ""bro"" to commiserate with since I\'m his only sibling. I was fine with it, I just didn\'t want my brother giving my ex husband any information on my life after him. Which he was good with. &#x200B; It didn\'t last long for him, because my ex just continually bashed me and complained to my brother how I\'d ruined his life. My brother at one point stopped him mid sentence as was like ""dude, you do realize that is my SISTER you\'re talking about, and if I hear one more nasty word about her come out of your mouth, I\'m going to kick your ass"". He stopped talking to him after that. Didn\'t mention the encounter to me for a few years. I gave him the biggest hug for standing up for me. ']"
20,21,20_nta_stupid_care_thing,"['nta', 'stupid', 'care', 'thing', 'green', 'game', 'entered', 'caught', 'legit', 'this']","['this is a stupid thing to care about NTA', 'this is a stupid thing to care about NTA', 'this is a stupid thing to care about NTA']"
21,20,21_him_break_he_yta,"['him', 'break', 'he', 'yta', 'want', 'up', 'girl', 'you', 'happy', 'once']","['YTA. He’s trying to provide for you. I get that girls can be mean. I was a teenage girl once. But damn give the man a break', 'YTA. He’s trying to provide for you. I get that girls can be mean. I was a teenage girl once. But damn give the man a break', 'YTA. He’s trying to provide for you. I get that girls can be mean. I was a teenage girl once. But damn give the man a break']"
22,19,22_money_together_her_she,"['money', 'together', 'her', 'she', 'honest', 'start', 'you', 'for', 'transparency', 'about']","['NTA for being upset. You’re living together and trying to have a child together. There should be transparency between you two. She absolutely should have been honest about the money. Her reasons for not being honest are understandable but no excuse. Moving forward, try asking her if there’s anything else she needs to come clean about so you can start over with total honesty. ', 'NTA for being upset. You’re living together and trying to have a child together. There should be transparency between you two. She absolutely should have been honest about the money. Her reasons for not being honest are understandable but no excuse. Moving forward, try asking her if there’s anything else she needs to come clean about so you can start over with total honesty. ', 'NTA for being upset. You’re living together and trying to have a child together. There should be transparency between you two. She absolutely should have been honest about the money. Her reasons for not being honest are understandable but no excuse. Moving forward, try asking her if there’s anything else she needs to come clean about so you can start over with total honesty. ']"
23,18,23_service_driver_cashier_my,"['service', 'driver', 'cashier', 'my', 'was', 'customers', 'rating', 'rap', 'sexist', 'uber']","['NTA. You are paying this company for a service and should be able to use that service without being exposed to offensive material (violence, racism, etc.) Analogous from my own experience: I was in an Uber where the driver was playing some horribly sexist rap song. I can’t remember the lyrics but it was basically along the lines of “bend the bitch over and fuck her and then she makes me a sandwich” except my grosser. I definitely gave that driver a bad rating and included a comment explaining why. ', 'NTA. You are paying this company for a service and should be able to use that service without being exposed to offensive material (violence, racism, etc.) Analogous from my own experience: I was in an Uber where the driver was playing some horribly sexist rap song. I can’t remember the lyrics but it was basically along the lines of “bend the bitch over and fuck her and then she makes me a sandwich” except my grosser. I definitely gave that driver a bad rating and included a comment explaining why. ', 'NTA. You are paying this company for a service and should be able to use that service without being exposed to offensive material (violence, racism, etc.) Analogous from my own experience: I was in an Uber where the driver was playing some horribly sexist rap song. I can’t remember the lyrics but it was basically along the lines of “bend the bitch over and fuck her and then she makes me a sandwich” except my grosser. I definitely gave that driver a bad rating and included a comment explaining why. ']"
24,18,24_hoa_dogs_documents_rules,"['hoa', 'dogs', 'documents', 'rules', 'they', 'the', 'governing', 'dog', 'them', 'their']","[""NTA, but the HOA may not be able to solve the problem for you. HOAs can only enforce the rules that are written into their governing documents, they don't mediate disputes between neighbors. So the HOA might be able to address the dogs pooping on the HOA property, but not your private property. Are there rules about the number of dogs, if they must be leashed, how often an owner has to pick up dog poop in his own back yard in your governing documents? Does your HOA have the authority to fine written into its documents? Let's say best case scenario, the HOA has rules about all those things, and the governing documents allow them to fine or even require the dogs to be removed if they are deemed a nuisance. And the HOA sends all their letters and fines, and the dog owner ignores them. Deed restrictions are a civil contract - they are enforced in the courts. Do you have a Board of Directors willing to incur the cost of a lawsuit? I would call Animal Control rather than the HOA. Virtually every city has rules about dogs having to be leashed in public, disposal of waste, and keeping the dogs in sanitary condition. And the city will have much more power to enforce than an HOA will. "", ""NTA, but the HOA may not be able to solve the problem for you. HOAs can only enforce the rules that are written into their governing documents, they don't mediate disputes between neighbors. So the HOA might be able to address the dogs pooping on the HOA property, but not your private property. Are there rules about the number of dogs, if they must be leashed, how often an owner has to pick up dog poop in his own back yard in your governing documents? Does your HOA have the authority to fine written into its documents? Let's say best case scenario, the HOA has rules about all those things, and the governing documents allow them to fine or even require the dogs to be removed if they are deemed a nuisance. And the HOA sends all their letters and fines, and the dog owner ignores them. Deed restrictions are a civil contract - they are enforced in the courts. Do you have a Board of Directors willing to incur the cost of a lawsuit? I would call Animal Control rather than the HOA. Virtually every city has rules about dogs having to be leashed in public, disposal of waste, and keeping the dogs in sanitary condition. And the city will have much more power to enforce than an HOA will. "", ""NTA, but the HOA may not be able to solve the problem for you. HOAs can only enforce the rules that are written into their governing documents, they don't mediate disputes between neighbors. So the HOA might be able to address the dogs pooping on the HOA property, but not your private property. Are there rules about the number of dogs, if they must be leashed, how often an owner has to pick up dog poop in his own back yard in your governing documents? Does your HOA have the authority to fine written into its documents? Let's say best case scenario, the HOA has rules about all those things, and the governing documents allow them to fine or even require the dogs to be removed if they are deemed a nuisance. And the HOA sends all their letters and fines, and the dog owner ignores them. Deed restrictions are a civil contract - they are enforced in the courts. Do you have a Board of Directors willing to incur the cost of a lawsuit? I would call Animal Control rather than the HOA. Virtually every city has rules about dogs having to be leashed in public, disposal of waste, and keeping the dogs in sanitary condition. And the city will have much more power to enforce than an HOA will. ""]"
25,17,25_condescending_employee_manager_the,"['condescending', 'employee', 'manager', 'the', 'say', 'enforce', 'asshole', 'you', 'makes', 'can']","['I’m going to say YTA. It’s hard to say whether the employee was really condescending based on your saying it was condescending. By facts, the employee is right. You broke a rule. He chose to enforce it. You also seem to agree the facts were on his side. Your main contention is his condescending tone. I think you could have handled it another way. You handled the situation by saying in beginning it wasn’t a problem the past four years and you spend a lot of money there. True. But said like that, it just smells entitled. You didn’t really acknowledge you broke a rule. What you could have said was - I know we went over the time. Can you do us a favor. I didn’t know it was a big problem. THEN state what you had stated about past four years and 25000. Admit fault which you did do. Then ask for the favor and why you deserve it. And if you have a problem with the tone, say it to his face directly! ', 'I’m going to say YTA. It’s hard to say whether the employee was really condescending based on your saying it was condescending. By facts, the employee is right. You broke a rule. He chose to enforce it. You also seem to agree the facts were on his side. Your main contention is his condescending tone. I think you could have handled it another way. You handled the situation by saying in beginning it wasn’t a problem the past four years and you spend a lot of money there. True. But said like that, it just smells entitled. You didn’t really acknowledge you broke a rule. What you could have said was - I know we went over the time. Can you do us a favor. I didn’t know it was a big problem. THEN state what you had stated about past four years and 25000. Admit fault which you did do. Then ask for the favor and why you deserve it. And if you have a problem with the tone, say it to his face directly! ', 'I’m going to say YTA. It’s hard to say whether the employee was really condescending based on your saying it was condescending. By facts, the employee is right. You broke a rule. He chose to enforce it. You also seem to agree the facts were on his side. Your main contention is his condescending tone. I think you could have handled it another way. You handled the situation by saying in beginning it wasn’t a problem the past four years and you spend a lot of money there. True. But said like that, it just smells entitled. You didn’t really acknowledge you broke a rule. What you could have said was - I know we went over the time. Can you do us a favor. I didn’t know it was a big problem. THEN state what you had stated about past four years and 25000. Admit fault which you did do. Then ask for the favor and why you deserve it. And if you have a problem with the tone, say it to his face directly! ']"
26,17,26_promise_sweetie_amazing_no,"['promise', 'sweetie', 'amazing', 'no', 'hell', 'ok', 'fault', 'better', 'this', 'nta']","[""NTA. And it will get better, I promise. You'll make it through this and have an amazing life."", ""NTA. And it will get better, I promise. You'll make it through this and have an amazing life."", ""NTA. And it will get better, I promise. You'll make it through this and have an amazing life.""]"
27,17,27_american_united_commonly_across,"['american', 'united', 'commonly', 'across', 'silly', 'using', 'states', 'america', 'language', 'americans']","['NTA. This is silly. “American” is the commonly-accepted demonym for people from the U.S. across many languages. Also, just because they could technically call themselves American as well (using a broader definition) doesn’t make you NOT an American, so they shouldn’t have any problem with you using the term. ', 'NTA. This is silly. “American” is the commonly-accepted demonym for people from the U.S. across many languages. Also, just because they could technically call themselves American as well (using a broader definition) doesn’t make you NOT an American, so they shouldn’t have any problem with you using the term. ', 'NTA. This is silly. “American” is the commonly-accepted demonym for people from the U.S. across many languages. Also, just because they could technically call themselves American as well (using a broader definition) doesn’t make you NOT an American, so they shouldn’t have any problem with you using the term. ']"
