index,scheme_with_verdict,scheme_without_verdict,changed,rationale_with,rationale_without
10,Ad Hominem,Appeal to Analogy,True,"Scheme: Ad Hominem

Rationale: The text appears to be an ad hominem attack, where the speaker is making a personal attack on the person rather than addressing the argument or issue at hand. The comment ""She sounds like a Leo/Gemini mix"" is not a relevant or constructive comment about the topic, but rather a personal jab aimed at discrediting or belittling the person. This type of attack is a classic example of an ad hominem fallacy, which is a common scheme in argumentation theory.","Scheme: Appeal to Analogy

Rationale: The text snippet is classifying a person's personality or behavior by drawing an analogy between them and a mix of two zodiac signs (Leo and Gemini). The speaker is using a comparison to describe the person's characteristics, without providing explicit evidence or logical reasoning. This is a classic example of an Appeal to Analogy, where the speaker is using a familiar concept (zodiac signs) to make a claim about the person, without providing a clear logical connection between the two."
11,Appeal to Emotion,Appeal to Emotion,False,"Scheme: Appeal to Emotion

Rationale: The text ""YTA her body, her choice"" is an appeal to emotion, specifically an appeal to sympathy and empathy. The phrase ""her body, her choice"" is a common slogan used to express support for a woman's right to make decisions about her own body, particularly in the context of reproductive rights. The phrase is meant to evoke emotions such as compassion, understanding, and solidarity with women who may be facing challenges or restrictions in exercising their bodily autonomy. By appealing to these emotions, the phrase aims to persuade others to support the cause and reject opposing views.","Scheme: Appeal to Emotion

Rationale: The text snippet ""her body, her choice"" is an appeal to emotion, specifically an appeal to sympathy and empathy. The phrase is a concise and emotive way to express support for a person's autonomy and right to make decisions about their own body. By using the phrase, the speaker is attempting to elicit an emotional response from the audience, rather than presenting a logical or rational argument. The scheme is an appeal to emotion because it relies on the audience's emotional connection to the issue, rather than providing evidence or logical reasoning to support the claim."
12,The Appeal to Expert Opinion,Appeal to Consequences,True,"Scheme: The Appeal to Expert Opinion

Rationale: The text snippet appeals to the audience's understanding of what a ""good"" parent should be, by stating that no parent is a professional and that it's okay to ask for help. The author is acknowledging that they are not an expert, but rather a parent who has gone through a similar situation, and is sharing their personal experience and perspective. This is an appeal to the audience's understanding of what constitutes good parenting, and is an attempt to persuade the audience that seeking help is a normal and acceptable part of the parenting process.","Scheme: Appeal to Consequences

Rationale: The text appeals to the consequences of not seeking help for the child, implying that if the child is not helped, it may lead to negative outcomes. The author suggests that the child may make mistakes and poor decisions, and that the parents' failure to seek help may result in the child's well-being being compromised. The author also implies that the parents' failure to seek help may reflect poorly on them as parents, which is a consequence they may want to avoid. This appeal to consequences is a common argumentation scheme used to persuade others to take a particular course of action."
13,Ad Hominem Fallacy,Appeal to the Consequences of an Action (ACA),True,"Scheme: Ad Hominem Fallacy

Rationale: The text appears to be accusing someone of being a ""Tryhard"" (TA) because they are trying to guilt others into a particular course of action. The argument is not focused on the merits of the argument or the issue at hand, but rather on the alleged motivations or character of the person making the argument. This is a classic example of an Ad Hominem Fallacy, where the argument is attacked rather than the argument itself.","Scheme: Appeal to the Consequences of an Action (ACA)

Rationale: The text is classifying an action (not allowing individuals to make their own decisions regarding their own safety) as wrong because of its potential consequences (guilt-tripping and becoming TA). The speaker is arguing that the action has negative consequences and is therefore wrong. This is a classic example of an Appeal to the Consequences of an Action, where the speaker is appealing to the audience's sense of morality and ethics by highlighting the potential negative outcomes of a particular action."
14,"Text: ""NTA""","Text: ""VERDICT REMOVED""",True,"Text: ""NTA""

Scheme: Ad Hominem

Rationale: The text ""NTA"" is likely being used as a shorthand for ""Not The Argument"", implying that the opponent's argument is being dismissed or ignored because of some perceived flaw or weakness in the opponent themselves, rather than addressing the argument's merits. This is a classic example of the Ad Hominem fallacy, where an argument is rejected because of some personal characteristic or attack on the opponent's character, rather than engaging with the substance of the argument.","Text: ""[VERDICT REMOVED]""

Scheme: Ad Hominem

Rationale: The text appears to be an attack on the credibility of the opposing party, rather than addressing the argument itself. The phrase ""[VERDICT REMOVED]"" suggests that the speaker is trying to discredit the opposing party by implying that they have been found guilty or have a questionable reputation. This is a classic example of an Ad Hominem attack, which involves attacking the character or reputation of the opposing party rather than addressing the argument itself."
15,Appeal to Consequences,Appeal to Consequences,False,"Scheme: Appeal to Consequences

Rationale: The text is urging the person to take action (run away) based on the predicted consequences of not doing so (the situation will not get better). The speaker is appealing to the person's self-interest, suggesting that the best course of action is to take immediate action to avoid a potentially dire outcome. This is a classic example of an Appeal to Consequences, where the speaker is using the potential consequences of an action to persuade the audience to adopt a particular course of action.","Scheme: Appeal to Consequences

Rationale: The text is urging the reader to take action (run away) based on the predicted negative consequences of not doing so. The speaker is warning that the situation will not improve unless drastic measures are taken, and even then, it may not get better. This is a classic example of an Appeal to Consequences, where the speaker is trying to persuade the reader by highlighting the potential negative outcomes of a particular course of action."
16,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem
Rationale: The text is using an ad hominem attack by implying that the person's argument is invalid because of their supposed knowledge of the outcome. The phrase ""you already know that"" and ""you already know how this is going to pan out"" is an attempt to discredit the person's argument by questioning their motivations or understanding of the situation, rather than addressing the argument itself.","Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by implying that the person's argument is invalid because of their supposed knowledge or intentions. The speaker is saying that the person already knows the outcome and is trying to manipulate the situation, which is an attempt to discredit their argument rather than addressing its merits. The speaker is also using a form of ad hominem by implying that the person's wife is depressed, which is an attempt to undermine the person's credibility and emotional state, rather than addressing the argument itself."
17,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text appears to be using an Ad Hominem attack against the wife, implying that she is unwilling to adjust the party schedule to accommodate the father's presence. The argument is not focused on the issue at hand (the father's absence from the party) but rather on the supposed character flaw of the wife. The text is trying to discredit the wife's potential counterargument (i.e., that the father's absence is not a big deal) by attacking her personally, rather than engaging with the substance of the issue.","Scheme: Ad Hominem

Rationale: The text attacks the opponent's character rather than addressing the argument at hand. The author implies that the wife is unwilling to adjust the party schedule, and that the father's absence will not be noticed by the child. This is an attempt to discredit the opponent's argument by questioning their motivations and character, rather than engaging with the substance of the argument."
18,The Appeal to Emotion,The Appeal to Emotion,False,"Scheme: The Appeal to Emotion

Rationale: The text appeals to emotions by acknowledging the emotional nature of the situation and the emotional states of the individuals involved. The speaker emphasizes the importance of considering the emotional impact of terminating a pregnancy on both women and men, and how this emotional state can lead to volatile outcomes. The speaker also uses emotional language, such as ""highly emotional situation"", ""trauma"", and ""severely stressed"", to create an emotional connection with the audience. Additionally, the speaker advises against making demands or ultimatums in such situations, implying that this would be an emotionally charged and potentially harmful approach. By appealing to emotions, the speaker aims to persuade the audience to consider the emotional aspects of the situation and to","Scheme: The Appeal to Emotion

Rationale: The text appeals to emotions by acknowledging the emotional nature of the situation and the emotional states of the individuals involved. The speaker emphasizes the importance of considering the emotional impact of terminating a pregnancy on both women and men, and how this emotional state can lead to volatile outcomes. The speaker also uses emotional language, such as ""highly emotional situation"", ""trauma"", and ""severely stressed"", to create an emotional connection with the audience. Additionally, the speaker advises against making demands or ultimatums in such situations, implying that this would be an emotionally charged and potentially harmful approach. By appealing to emotions, the speaker aims to persuade the audience to consider the emotional aspects of the situation and to"
19,Appeal to Humane Values,Appeal to Consequences,True,"Scheme: Appeal to Humane Values

Rationale: The text snippet is an appeal to humane values, specifically the value of being courteous and considerate towards others. The author is suggesting that it's better to approach the situation with empathy and kindness, rather than being blunt or harsh. The use of phrases such as ""put yourself in his shoes"", ""be courteous"", and ""I like having you here"" all contribute to this appeal to humane values. The author is trying to persuade the reader to adopt a more compassionate and understanding approach when addressing the issue of personal hygiene.","Scheme: Appeal to Consequences

Rationale: The text is using the appeal to consequences scheme by imagining the consequences of not telling someone about their personal hygiene issue. The author is asking the reader to put themselves in the person's shoes and consider how they would feel if someone didn't tell them about the issue. This is an attempt to persuade the reader to take a certain action (telling the person about the issue) by highlighting the potential negative consequences of not doing so. The author is also providing an alternative solution (asking the supervisor to do it) to make the task less daunting, which is a common tactic used in the appeal to consequences scheme."
20,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text appears to be using an ad hominem attack by dismissing the opposing side's argument (the use of ""United-Statesian"" as an alternative) by making a personal attack on the term itself, rather than addressing the substance of the argument. The speaker is implying that the term ""United-Statesian"" is awkward or unappealing, and therefore, it's not a viable alternative to ""American"". This type of argumentation scheme is characteristic of an ad hominem attack, where the focus is on attacking the person or their argument rather than addressing the issue at hand.","Scheme: Ad Hominem

Rationale: The argument appears to be attacking the opposing side's position by questioning their motivation for using a particular term, rather than addressing the merits of the term itself. The speaker is implying that the reason we call ourselves ""Americans"" is not because it is a well-chosen or accurate term, but rather because it is the only available option. This is a classic example of an Ad Hominem attack, where the speaker is focusing on the person or group making the argument rather than the argument itself."
21,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text appears to be an Ad Hominem attack, as it is addressing the opponent's alleged financial situation rather than engaging with the substance of the argument. The phrase ""NTA"" likely stands for ""Not The Argument,"" implying that the opponent's argument is being dismissed because of their supposed financial constraints, rather than being addressed on its merits. This type of attack is characteristic of the Ad Hominem scheme, which involves attacking the opponent's character, motives, or personal circumstances rather than addressing the argument itself.","Scheme: Ad Hominem

Rationale: The text appears to be an Ad Hominem attack, where the author is dismissing the opposing viewpoint by attacking the person making the argument, rather than addressing the argument itself. The phrase ""you aren't required to spend any amount of money for someone else"" seems to be a personal attack, implying that the person making the argument is somehow obligated to spend money for someone else, rather than engaging with the substance of the argument. This type of attack is characteristic of the Ad Hominem scheme, which involves attacking the character or personal qualities of the arguer rather than addressing the argument itself."
22,Appeal to Consequences,Ad Hominem,True,"Scheme: Appeal to Consequences

Rationale: The text is appealing to the consequences of the speaker's actions, specifically the potential harm or negative outcome that could result from the speaker's decision to message the person's partner. The speaker is warning that if the speaker were in a similar situation, they would be furious and would likely experience negative emotions. This is an appeal to consequences, as the speaker is trying to persuade the audience by highlighting the potential negative outcomes of their actions.","Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by shifting the focus from the argument at hand (the partner's decision to remove someone from their life) to the character of the person making the argument (the original poster). The text is implying that the original poster is somehow flawed or wrong for questioning the partner's decision, rather than addressing the argument itself. The phrase ""it's up to him who he wants to remove from his life not you"" is an attempt to discredit the original poster's opinion by implying that they are overstepping their bounds, rather than engaging with the substance of the argument."
23,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is an example of an Ad Hominem attack, where the speaker is attacking the target's character or personal circumstances (in this case, the boyfriend's potential infidelity) rather than addressing the issue at hand (the original statement or claim). The speaker is trying to discredit the target's argument by implying that their personal life is flawed, rather than engaging with the substance of the argument.","Scheme: Ad Hominem

Rationale: The text snippet appears to be an informal, anonymous message that attacks the person's relationship rather than addressing the issue of infidelity. The phrase ""watch out"" implies a warning or threat, rather than a logical or evidence-based argument. The message also lacks any concrete evidence or reasoning to support the claim that the boyfriend is cheating. Instead, it relies on an emotional appeal and a personal attack, which is a characteristic of the Ad Hominem scheme."
24,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is attempting to discredit the original speaker's argument by making a personal attack, implying that their girlfriend's jealousy and insecurity are the reason for their perspective. This is a classic example of an Ad Hominem fallacy, where the focus is shifted from the argument itself to the character or personal traits of the person making the argument.","Scheme: Ad Hominem

Rationale: The text snippet attacks the credibility of the person who made the original statement (the ""verdict"") by making a personal attack, implying that the person's girlfriend was jealous and insecure. This is an example of an ad hominem attack, which is a fallacious argumentation scheme where an argument is rejected because of some irrelevant characteristic of the person making the argument, rather than addressing the argument itself."
25,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by labeling the person as a ""bitch"" and implying that they are weak for not defending themselves. The speaker is diverting attention from the original issue to the person's character, attempting to discredit them and undermine their argument. This is a classic example of an ad hominem fallacy, where the speaker is attacking the person rather than addressing the argument itself.","Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by labeling the person who needs to defend themselves as a ""bitch"" if they respond to the other person's statement. This is an attempt to discredit the person's argument by attacking their character or personal qualities, rather than addressing the substance of their claim. The speaker is trying to shift the focus from the issue at hand to the person's perceived flaws, which is a classic characteristic of an ad hominem fallacy."
26,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text snippet attacks the opponent's character, labeling them as ""immature, selfish, arrogant asshole"", rather than addressing the argument or issue at hand. This is a classic example of an Ad Hominem attack, where the arguer attempts to discredit the opponent's argument by attacking their personal qualities or character, rather than engaging with the substance of the argument.","Scheme: Ad Hominem

Rationale: The text snippet attacks the opponent's character, labeling them as ""immature, selfish, and arrogant"", rather than addressing the argument or issue at hand. This is a classic example of an Ad Hominem attack, where the arguer attempts to discredit the opponent's argument by attacking their personal qualities or character, rather than engaging with the substance of the argument."
27,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is attacking the person making the message, rather than addressing the argument or issue at hand. The speaker is questioning the motivations and character of the person who messaged the other woman and blocked her from their boyfriend's phone, implying that they must have done it out of malice or insecurity. This is an example of an ad hominem attack, where the speaker is trying to discredit the person making the argument rather than addressing the argument itself.","Scheme: Ad Hominem

Rationale: The text is attacking the character of the person who messaged the other person and blocked them from their boyfriend's phone, rather than addressing the issue at hand. The argument focuses on the person's perceived flaws, such as feeling the need to message and block someone, and implies that they are not a good partner. This is a classic example of an Ad Hominem attack, where the argument shifts from the issue to the person's character, attempting to discredit them and undermine their credibility."
28,Appeal to Consistency,Appeal to Consequences,True,"Scheme: Appeal to Consistency

Rationale: The speaker is appealing to consistency by pointing out that if someone (NTA, presumably the person being discussed) is willing to take on the responsibility of raising three extra kids, they should also be willing to provide a similar upbringing for their own kids. The speaker is implying that NTA's actions are inconsistent with their own values or plans, and that they should be held to the same standards they are applying to themselves. The speaker is also using this scheme to criticize the sister's statement, arguing that it is inconsistent with the values of family and the well-being of children.","Scheme: Appeal to Consequences

Rationale: The speaker is arguing that the sister's statement is unacceptable because of the consequences it implies. The speaker is highlighting the potential harm that would come to the children if they were raised without religion, and implying that this is a worse outcome than the alternative. The speaker is also emphasizing the negative consequences for the sister's own children, who would be affected by their mother's decision. This is a classic example of an Appeal to Consequences, where the speaker is trying to persuade by emphasizing the potential negative outcomes of a particular action or decision."
29,Ad Hominem,Ad Hominem,False,"Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by targeting the character of the person who is trying to game the system, rather than addressing the argument or issue at hand. The speaker is implying that the person is not credible or trustworthy because they are trying to cheat, and therefore their complaints or claims are invalid. This is a classic example of an ad hominem fallacy, where the speaker is attacking the person rather than the argument.","Scheme: Ad Hominem

Rationale: The text is using an ad hominem attack by dismissing the opponent's argument based on their character or actions, rather than addressing the argument itself. The speaker is saying that if someone tries to game the system, they have no right to complain or cry foul when they're caught, regardless of the method used to catch them. This is an ad hominem attack because it focuses on the person's alleged wrongdoing rather than engaging with the substance of their argument."
30,Appeal to the Consequences of a Premise,The Appeal to Common Ground,True,"Scheme: Appeal to the Consequences of a Premise

Rationale: The text is analyzing the situation and the language used by the person (NTA) in terms of its potential consequences. The author is considering the implications of NTA's actions and words, such as ""dropping the L bomb"" (i.e., saying ""I love you""), and evaluating whether it is a reasonable or respectful move. The author is also considering the potential reactions of others, such as ""most potential partners,"" and how they might view NTA's actions. This type of analysis is characteristic of the Appeal to the Consequences of a Premise scheme, which involves evaluating the potential outcomes or consequences of a particular action or decision.","Scheme: The Appeal to Common Ground

Rationale: The text is analyzing a situation where someone is expressing strong emotions and making a significant commitment, and the author is trying to find a way to understand and reconcile the situation. The author suggests that the person's language may be an attempt to fill a physical void, implying that there is a lack of physical intimacy in the relationship. The author is trying to find common ground between the two parties by acknowledging the potential partner's perspective and suggesting that they may be happy with the level of commitment. The author is also emphasizing the importance of respecting each other's views, which is a key aspect of the Appeal to Common Ground scheme."
31,Ad Hominem,Appeal to Emotion (Walton's scheme 14),True,"Scheme: Ad Hominem
Rationale: The text is using an ad hominem attack by implying that the person who posted the picture is likely to be insecure about their body, and therefore, their opinion is invalid. The argument is not focused on the content of the picture or the argument being made, but rather on the supposed character flaw of the person who posted it. This is a classic example of an ad hominem fallacy, where the argument is shifted from the issue at hand to the person making the argument.","Scheme: Appeal to Emotion (Walton's scheme 14)

Rationale: The text appeals to the reader's emotions by imagining a hypothetical scenario where the person being criticized is mocked about something they are insecure about. The author is trying to elicit an emotional response from the reader, such as empathy or sympathy, rather than presenting a logical or evidence-based argument. The use of the phrase ""must women are insecure about their bodies"" is also an attempt to create an emotional connection with the reader by appealing to a common human experience."
32,Appeal to the Consequences of an Action,Appeal to Good Sense,True,"Scheme: Appeal to the Consequences of an Action

Rationale: The text is urging the person to try bargaining with the child to get them to eat a little bit, citing the consequence of not eating as a negative outcome. The speaker is appealing to the consequences of not eating, implying that it would be unhealthy for the child, and thus, the speaker is encouraging the person to take action to avoid this negative outcome. This is an example of an Appeal to the Consequences of an Action, as the speaker is using the potential consequences of not eating to persuade the person to take a particular action.","Scheme: Appeal to Good Sense

Rationale: The text is appealing to the reader's good sense by acknowledging that the reader is acting in the best interest of the child, and then offering a practical solution to a common problem. The phrase ""You're just doing what you think will be healthiest for the child"" is an appeal to the reader's good sense, as it assumes that the reader is motivated by a desire to do what is best for the child. The subsequent suggestion to ""try bargaining with her and see if you can at least get her to eat a little bit"" is a practical and reasonable solution that is likely to resonate with the reader's good sense."
33,Appeal to Relevance,Appeal to Equity,True,"Scheme: Appeal to Relevance

Rationale: The text is appealing to the relevance of the situation to justify the speaker's claim. The speaker is arguing that the couple's long-distance relationship and the fact that they don't see each other often makes it reasonable for them to want to spend time together on their birthday weekend. The speaker is also pointing out that the couple had planned this trip before the boyfriend's friend came out, implying that it's not a last-minute change. By highlighting these relevant circumstances, the speaker is trying to persuade the audience that the couple's decision to spend time together is reasonable and understandable.","Scheme: Appeal to Equity

Rationale: The text is appealing to the fairness and justice of the situation, urging the person to prioritize their own needs and desires on their birthday weekend. The argument emphasizes that the person has already asked their boyfriend if he could go and he agreed, implying that it's only fair to spend the weekend together. Additionally, the text highlights the fact that the person has already booked a non-refundable place, which adds to the sense of fairness and equity. The overall tone is one of empathy and understanding, encouraging the person to be honest with their boyfriend and assert their needs in a reasonable and fair manner."
34,Appeal to Expert Opinion,Appeal to Consequences,True,"Scheme: Appeal to Expert Opinion

Rationale: The text snippet is an appeal to expert opinion, specifically an appeal to the opinion of a neutral third party (NTA, which stands for ""Not The Algorithm,"" a popular internet slang term for a neutral or objective perspective). The speaker is using the opinion of this neutral third party to support their claim that the person being addressed should be paid for attending the event. The speaker is implying that the neutral third party's opinion is authoritative and trustworthy, and therefore, the claim is more likely to be true.","Scheme: Appeal to Consequences

Rationale: The text is appealing to the consequences of not being paid for attending an event. The speaker is not directly addressing the verdict, but rather focusing on the practical implications of not being compensated for one's time. The phrase ""They absolutely should be paying you for attending that"" implies that not being paid would be unjust and unfair, and the speaker is using this to persuade the audience to agree with their point of view. This is a classic example of an Appeal to Consequences, where the speaker is highlighting the potential negative outcomes of not taking a particular action (in this case, not being paid)."
35,The Scheme of Appeal to Shared Values,The Scheme of Appeal to Shared Values,False,"Scheme: The Scheme of Appeal to Shared Values

Rationale: The text snippet is an example of the Scheme of Appeal to Shared Values, as the speaker is attempting to persuade the audience by appealing to shared values and emotions. The speaker starts by expressing empathy and understanding, stating that they ""don't really blame"" the person being addressed (OP) for their actions. The speaker then shares a personal anecdote about being in a similar situation, which creates a sense of shared experience and understanding.

The speaker then appeals to the audience's values by highlighting the importance of kindness, compassion, and understanding. They praise OP for ""caring enough to feed Chris"" and for not having to, but choosing to do so. The speaker also expresses concern for","Scheme: The Scheme of Appeal to Shared Values

Rationale: The text snippet is an example of the Scheme of Appeal to Shared Values, as the speaker is attempting to persuade the audience by appealing to shared values and emotions. The speaker starts by expressing their own uncertainty and empathy, which creates a sense of rapport with the audience. Then, they use rhetorical questions and hypothetical scenarios to highlight the potential consequences of the audience's actions, appealing to their sense of morality and compassion. The speaker also uses personal anecdotes and emotional language to create a sense of shared experience and understanding. By doing so, the speaker is attempting to influence the audience's decision-making process by appealing to their shared values and emotions, rather than relying solely on logical or factual arguments."
