instance_id,original_text,masked_text,original_scheme,masked_scheme,changed
eicsvhw,NTA She sounds like a Leo/Gemini mix ,[VERDICT REMOVED] She sounds like a Leo/Gemini mix ,Unknown,Error,True
e9en8zr,"YTA her body, her choice","[VERDICT REMOVED] her body, her choice",Unknown,Error,True
ea3q1hg,"NTA - keep going. A parents right to snoop. Children deserve a degree of privacy to make their own decisions and mistakes, yes. However, he lost his privileges when he made those comments in school. Smashing the computer may have been extreme. However, if I called my father a beta male and said very insensitive stuff about his wife dying at 15... he’d probably commit a felony beating my ass. The important thing is this kid definitely needs help. There is a good chance you read people saying that and think that, I’m some way, makes you a failure as a father. Simply put, it doesn’t. You’re not a professional, no parent is. You can be loving and nurturing and kind all you want but sometimes a therapist is the best thing. This is in no way a negative reflection on you. In fact, I would even say it may be good for all of you to go to a few sessions. Your family has been thru one of the worst things imaginable. It’s ok to ask for help. ","[VERDICT REMOVED] - keep going. A parents right to snoop. Children deserve a degree of privacy to make their own decisions and mistakes, yes. However, he lost his privileges when he made those comments in school. Smashing the computer may have been extreme. However, if I called my father a beta male and said very insensitive stuff about his wife dying at 15... he’d probably commit a felony beating my ass. The important thing is this kid definitely needs help. There is a good chance you read people saying that and think that, I’m some way, makes you a failure as a father. Simply put, it doesn’t. You’re not a professional, no parent is. You can be loving and nurturing and kind all you want but sometimes a therapist is the best thing. This is in no way a negative reflection on you. In fact, I would even say it may be good for all of you to go to a few sessions. Your family has been thru one of the worst things imaginable. It’s ok to ask for help. ",Unknown,Error,True
ek0iu60,I would say YTA for not allowing them to make their own decisions regarding their own safety. They are not children and they can weigh up the risk vs reward for themselves. You are free to express your concerns without becoming TA but as soon as you tried to guilt them into the course of action you preferred you became TA,I would say [VERDICT REMOVED] for not allowing them to make their own decisions regarding their own safety. They are not children and they can weigh up the risk vs reward for themselves. You are free to express your concerns without becoming TA but as soon as you tried to guilt them into the course of action you preferred you became TA,Unknown,Error,True
e9v1sdd,NTA,[VERDICT REMOVED],Unknown,Error,True
egpg49q,"NTA - but run. This will not get better, unless you move far away from the mother. And probably not even then. ","[VERDICT REMOVED] - but run. This will not get better, unless you move far away from the mother. And probably not even then. ",Unknown,Error,True
edic5lz,"YTA. Sounds like you already know that. And you already know how this is going to pan out. She’s not going to betray her sister for you, so saying anything about it will only make your life go down in flames. Don’t. OTOH, your wife sounds depressed.","[VERDICT REMOVED]. Sounds like you already know that. And you already know how this is going to pan out. She’s not going to betray her sister for you, so saying anything about it will only make your life go down in flames. Don’t. OTOH, your wife sounds depressed.",Unknown,Error,True
ejiomuo,"NTA - Mom to a 1 1/2 year old here. First birthday parties are for the parents, not the kid. Your wife could adjust it so you could be there, but she won't. And if you're late to the party, your son won't know the difference. He'll just know that Dada's home and be happy about that. Take the next day to have a fun day out just the three of you. THAT'S what he'll remember.","[VERDICT REMOVED] - Mom to a 1 1/2 year old here. First birthday parties are for the parents, not the kid. Your wife could adjust it so you could be there, but she won't. And if you're late to the party, your son won't know the difference. He'll just know that Dada's home and be happy about that. Take the next day to have a fun day out just the three of you. THAT'S what he'll remember.",Unknown,Error,True
ed7rk6s,"I can’t say either way. There’s probably poor actions on both sides of this, but it’s such a delicate subject, so... Terminating a pregnancy affects women and men differently, and neither one can really put themselves in the other person’s shoes here. It’s a highly emotional situation, but still needed to be discussed rationally - which doesn’t appear to have been the case, so I’m not surprised it blew up. While his feelings do matter, he should of been more supportive and (both of you) should have waited for things to cool down before making a final decision on your relationship - you both went through a major trauma, with you having to shoulder the hardest part. Your fluctuating emotional state should have been taken into account. Highly emotional situations are a breeding ground for volatile outcomes, and issuing demands/ultimatums when everyone’s mental state is being severely stressed is never a good idea. Ultimatums should be a last-ditch effort, used only after all other options are exhausted, and have been thought through very carefully. You also have to be prepared for the person to make the less desirable option when given one as well. ","I can’t say either way. There’s probably poor actions on both sides of this, but it’s such a delicate subject, so... Terminating a pregnancy affects women and men differently, and neither one can really put themselves in the other person’s shoes here. It’s a highly emotional situation, but still needed to be discussed rationally - which doesn’t appear to have been the case, so I’m not surprised it blew up. While his feelings do matter, he should of been more supportive and (both of you) should have waited for things to cool down before making a final decision on your relationship - you both went through a major trauma, with you having to shoulder the hardest part. Your fluctuating emotional state should have been taken into account. Highly emotional situations are a breeding ground for volatile outcomes, and issuing demands/ultimatums when everyone’s mental state is being severely stressed is never a good idea. Ultimatums should be a last-ditch effort, used only after all other options are exhausted, and have been thought through very carefully. You also have to be prepared for the person to make the less desirable option when given one as well. ",Unknown,Error,True
ek27uz3,"NTA. Put yourself in his shoes - would you want someone to let you know? Do try to be courteous about it, though. ""Hey, X, you're a great guy and I like having you here. It's awkward, but I wanted to let you know that your personal hygiene thing might not be working out for you. I wouldn't say anything if I didn't think you were a great guy."" Alternatively, ask the supervisor to do it. ","[VERDICT REMOVED]. Put yourself in his shoes - would you want someone to let you know? Do try to be courteous about it, though. ""Hey, X, you're a great guy and I like having you here. It's awkward, but I wanted to let you know that your personal hygiene thing might not be working out for you. I wouldn't say anything if I didn't think you were a great guy."" Alternatively, ask the supervisor to do it. ",Unknown,Error,True
edoave2,"NTA, the only reason we call ourselves Americans is because their is literally no good alternative. United-Statesian doesn’t exactly have the same ring to it.","[VERDICT REMOVED], the only reason we call ourselves Americans is because their is literally no good alternative. United-Statesian doesn’t exactly have the same ring to it.",Unknown,Error,True
eaqcrml,NTA - you aren't required to spend any amount of money for someone else,[VERDICT REMOVED] - you aren't required to spend any amount of money for someone else,Unknown,Error,True
egqis8m,YTA it's up to him who he wants to remove from his life not you. He was upfront about his situation with her and you did not need to message her at all. I would be furious if my partner did this to me.,[VERDICT REMOVED] it's up to him who he wants to remove from his life not you. He was upfront about his situation with her and you did not need to message her at all. I would be furious if my partner did this to me.,Unknown,Error,True
eda9v2h,"NTA. Your boyfriend might be cheating on you, watch out.","[VERDICT REMOVED]. Your boyfriend might be cheating on you, watch out.",Unknown,Error,True
eibndqk,NTA - it sounds like your girlfriend was jealous and was being insecure. I would go to another meet-up.,[VERDICT REMOVED] - it sounds like your girlfriend was jealous and was being insecure. I would go to another meet-up.,Unknown,Error,True
ejmhl55,"NTA but next time you need to defend yourself, seriously. You wouldn’t be thought of as a bitch if you responded to what she had said. ","[VERDICT REMOVED] but next time you need to defend yourself, seriously. You wouldn’t be thought of as a bitch if you responded to what she had said. ",Unknown,Error,True
educ6cq,"YTA An immature, selfish, arrogant asshole. This entire post is disgusting. Grow up.","[VERDICT REMOVED] An immature, selfish, arrogant [VERDICT REMOVED]. This entire post is disgusting. Grow up.",Unknown,Error,True
egqlpb3,"YTA. Why would you feel the need to message her and block her from your BOYFRIEND's phone when you saw that he was clearly not interested in her and was handling it very well? I never understand how you can just go through your other half's phone, especially with someone like your boyfriend (he sounds sincere, atleast in this situation). Do you not feel uncomfortable or embarrased doing so? ","[VERDICT REMOVED]. Why would you feel the need to message her and block her from your BOYFRIEND's phone when you saw that he was clearly not interested in her and was handling it very well? I never understand how you can just go through your other half's phone, especially with someone like your boyfriend (he sounds sincere, atleast in this situation). Do you not feel uncomfortable or embarrased doing so? ",Unknown,Error,True
ehep6rj,"NTA, if you're going to be raising three extra kids then you should be able to still have the life and upbringing for your own kids that you planned for in terms of religious upbringing and available finances. Your sister is an asshole for saying she'd rather her children die than be raised without religion. That's honestly a super shitty and selfish thing to say. ","[VERDICT REMOVED], if you're going to be raising three extra kids then you should be able to still have the life and upbringing for your own kids that you planned for in terms of religious upbringing and available finances. Your sister is an [VERDICT REMOVED] for saying she'd rather her children die than be raised without religion. That's honestly a super shitty and selfish thing to say. ",Unknown,Error,True
ei3lclc,"NTA - ppl who try to game the system can't cry foul when they're caught, no matter how they're caught. Fair game. ","[VERDICT REMOVED] - ppl who try to game the system can't cry foul when they're caught, no matter how they're caught. Fair game. ",Unknown,Error,True
egbat03,NTA Three weeks of long distance and she’s dropping the L bomb? Damn. That’s coming on pretty strong. I understand why she could be upset (she’s proffering and you’re rejecting) but she needs to respect your views as you should respect hers. And I think most potential partners would be happy with how seriously you take it. But maybe her language is her attempt to fill the physical void between you.,[VERDICT REMOVED] Three weeks of long distance and she’s dropping the L bomb? Damn. That’s coming on pretty strong. I understand why she could be upset (she’s proffering and you’re rejecting) but she needs to respect your views as you should respect hers. And I think most potential partners would be happy with how seriously you take it. But maybe her language is her attempt to fill the physical void between you.,Unknown,Error,True
ek8vix4,"YTA. Imagine if you walked on her and her friends and she was mocking something about you that you're insecure about. I don't know her, but must women are insecure about their bodies even if they're relatively confident, so I'm willing to bet it was really hurtful.","[VERDICT REMOVED]. Imagine if you walked on her and her friends and she was mocking something about you that you're insecure about. I don't know her, but must women are insecure about their bodies even if they're relatively confident, so I'm willing to bet it was really hurtful.",Unknown,Error,True
egmn8hj,"NTA. You’re just doing what you think will be healthiest for the child. If she really doesn’t want to eat, try bargaining with her and see if you can at least get her to eat a little bit. ","[VERDICT REMOVED]. You’re just doing what you think will be healthiest for the child. If she really doesn’t want to eat, try bargaining with her and see if you can at least get her to eat a little bit. ",Unknown,Error,True
ejj0jq5,NTA - you guys are long distance and don’t really see each other. You’re not selfish for wanting to spend time with just your bf on your bday weekend. You already asked him if he could go and he said yes. Just be honest with him. Tell him you’ve had a really hard week and just want to spend time away with just him on your birthday weekend. Also say that the place you booked isn’t refundable. I’m sure he’ll understand. You planned this first before his friend came out. He can see his friend another time. ,[VERDICT REMOVED] - you guys are long distance and don’t really see each other. You’re not selfish for wanting to spend time with just your bf on your bday weekend. You already asked him if he could go and he said yes. Just be honest with him. Tell him you’ve had a really hard week and just want to spend time away with just him on your birthday weekend. Also say that the place you booked isn’t refundable. I’m sure he’ll understand. You planned this first before his friend came out. He can see his friend another time. ,Unknown,Error,True
eaq7lyo,NTA but judgment aside: Are you hourly? They absolutely should be paying you for attending that.,[VERDICT REMOVED] but judgment aside: Are you hourly? They absolutely should be paying you for attending that.,Unknown,Error,True
ei77d9k,"I'm leaning more towards NTA, but if you really answered the way you did, then YTA. I don't really blame you, but I was once like that poor family, and you are a great person for even caring enough to feed Chris in the first place and while you had no obligation to feed the unexpected family, you could have said it in a ncier way. The ' well I'm sure your parents have a nice dinner planned' comment is kind of weird. I mean, what if the kids didn't get anything to eat that day, but you said that and they naturally hoped that it would be something nice. And the 'take-out' comment also kind of strange. I mean if the that turned his head, he could've been ashamed since he couldn't provide for his family. Either way, you did what you did. But do try not to push Chris away, he might be feeling ashamed of what happened, especially if you suddenly don't let him come over. Good luck, OP ","I'm leaning more towards [VERDICT REMOVED], but if you really answered the way you did, then [VERDICT REMOVED]. I don't really blame you, but I was once like that poor family, and you are a great person for even caring enough to feed Chris in the first place and while you had no obligation to feed the unexpected family, you could have said it in a ncier way. The ' well I'm sure your parents have a nice dinner planned' comment is kind of weird. I mean, what if the kids didn't get anything to eat that day, but you said that and they naturally hoped that it would be something nice. And the 'take-out' comment also kind of strange. I mean if the that turned his head, he could've been ashamed since he couldn't provide for his family. Either way, you did what you did. But do try not to push Chris away, he might be feeling ashamed of what happened, especially if you suddenly don't let him come over. Good luck, OP ",Unknown,Error,True
ej3p538,YTA. The fact that she’s ignoring your family is an issue. But don’t tell her how to interact with her dead husbands family.,[VERDICT REMOVED]. The fact that she’s ignoring your family is an issue. But don’t tell her how to interact with her dead husbands family.,Unknown,Error,True
efxdaap,"YTA - Wow lady, you've got a lot of feelings here. It's okay for you not to like your stepdaughter, and it's okay for you to disagree on your husband's care. But also he's an adult and your stepdaughter is a medical professional. You could have called 911 at any point and had an ambulance come right over. Normally I'd be willing to go ESH but the pure level of rage and meanspiritedness (who really cares if her ass is fat? Who really cares if they watch TV instead of being outside?) makes you seem like not the most reliable reporter. And undermining your stepmother to her children, even IF they started it and you agree? Yiiikes. &#x200B; &#x200B; &#x200B;","[VERDICT REMOVED] - Wow lady, you've got a lot of feelings here. It's okay for you not to like your stepdaughter, and it's okay for you to disagree on your husband's care. But also he's an adult and your stepdaughter is a medical professional. You could have called 911 at any point and had an ambulance come right over. Normally I'd be willing to go [VERDICT REMOVED] but the pure level of rage and meanspiritedness (who really cares if her ass is fat? Who really cares if they watch TV instead of being outside?) makes you seem like not the most reliable reporter. And undermining your stepmother to her children, even IF they started it and you agree? Yiiikes. &#x200B; &#x200B; &#x200B;",Unknown,Error,True
eht751l,"YTA- if you really cared, you can make the suggestion to a manager. You just want to embarrass people.","[VERDICT REMOVED]- if you really cared, you can make the suggestion to a manager. You just want to embarrass people.",Unknown,Error,True
ebehe6e,NTA. But this is obviously a big deal for your mom. if you get along with her in other ways and aren’t busy - why not help her decorate?? If your relation is strained already - then I can see not wanting to help her. ,[VERDICT REMOVED]. But this is obviously a big deal for your mom. if you get along with her in other ways and aren’t busy - why not help her decorate?? If your relation is strained already - then I can see not wanting to help her. ,Unknown,Error,True
ehej7t4,"NTA Sister knows your views and if she wants you to raise her kids then should be making things as easy as possible for you to do so. Just the burden of raising 3 extra kids is more than I could ever expect someone to do for me. I would also only ask someone that I felt would raise them how I would like them to be raised. Either your sister thinks you will raise her children well or she doesn't. If she does, then she should respect the way you feel is best to do so and if she doesn't then she should find someone that she feels comfortable with. Although, this could be an ESH as you could just let a dying woman feel like she gets what she wants and then raise the kids however you want anyway...","[VERDICT REMOVED] Sister knows your views and if she wants you to raise her kids then should be making things as easy as possible for you to do so. Just the burden of raising 3 extra kids is more than I could ever expect someone to do for me. I would also only ask someone that I felt would raise them how I would like them to be raised. Either your sister thinks you will raise her children well or she doesn't. If she does, then she should respect the way you feel is best to do so and if she doesn't then she should find someone that she feels comfortable with. Although, this could be an [VERDICT REMOVED] as you could just let a dying woman feel like she gets what she wants and then raise the kids however you want anyway...",Unknown,Error,True
ekfw24f,"lol, I'm probably going to be the only NTA here, but what should you be expected to do? Lie? You didn't mean for her to hear it. Maybe you needed to treat the situation as if she was in the room already? fuck if i know.","lol, I'm probably going to be the only [VERDICT REMOVED] here, but what should you be expected to do? Lie? You didn't mean for her to hear it. Maybe you needed to treat the situation as if she was in the room already? fuck if i know.",Unknown,Error,True
eicdbtj,"NTA. I would have been so proud of you. You did nothing wrong and you shouldn't feel reluctant to go to other meet-ups. But perhaps you could join some groups centered around your own interests and go without her. The nice thing about meeting strangers is that they don't know you're supposed to be ""a social Neanderthal"" and you can try on a more social self when around them. Also, based on your account here, it doesn't sound like you don't understand social etiquette. I wonder how you developed some of these ideas: has someone told you repeatedly you're socially inadequate? were you always around idiots who thought making small talk was the epitome of socialization? have you ever had a friend with whom you could talk for hours? I used to think I was charmless and introverted because I'd never enjoyed large gatherings and the sort of pointless chatter which dominates them. Now I can do it easily if necessary, but it bores me to death. However, at some point, I realized I was very good at talking to people one-on-one, including those who didn't normally communicate much, and that I could keep a conversation going with anyone. I still think of myself as being closer to the introverted end of the spectrum, but I don't see it as a bad thing: I choose my social encounters carefully and don't waste energy on those I know I don't personally enjoy. I'll be honest: I don't like your girlfriend's reaction. I don't like the fact that maybe she uses you to feel good about herself and that she resented you for having a successful evening. I don't like the way she made it all about herself, when she should have been glad to see you come out of your shell and make a good impression on other people she likes. This deserves a conversation, but not one in which you're endlessly apologizing just to appease her.","[VERDICT REMOVED]. I would have been so proud of you. You did nothing wrong and you shouldn't feel reluctant to go to other meet-ups. But perhaps you could join some groups centered around your own interests and go without her. The nice thing about meeting strangers is that they don't know you're supposed to be ""a social Neanderthal"" and you can try on a more social self when around them. Also, based on your account here, it doesn't sound like you don't understand social etiquette. I wonder how you developed some of these ideas: has someone told you repeatedly you're socially inadequate? were you always around idiots who thought making small talk was the epitome of socialization? have you ever had a friend with whom you could talk for hours? I used to think I was charmless and introverted because I'd never enjoyed large gatherings and the sort of pointless chatter which dominates them. Now I can do it easily if necessary, but it bores me to death. However, at some point, I realized I was very good at talking to people one-on-one, including those who didn't normally communicate much, and that I could keep a conversation going with anyone. I still think of myself as being closer to the introverted end of the spectrum, but I don't see it as a bad thing: I choose my social encounters carefully and don't waste energy on those I know I don't personally enjoy. I'll be honest: I don't like your girlfriend's reaction. I don't like the fact that maybe she uses you to feel good about herself and that she resented you for having a successful evening. I don't like the way she made it all about herself, when she should have been glad to see you come out of your shell and make a good impression on other people she likes. This deserves a conversation, but not one in which you're endlessly apologizing just to appease her.",Unknown,Error,True
ehxym3z,NTA. You were polite and let him down gently a bunch of times before you yelled to leave you alone because nothing else was working. He sounds pushy and he wouldn't be so aggressive if he cared about getting yelled at. ,[VERDICT REMOVED]. You were polite and let him down gently a bunch of times before you yelled to leave you alone because nothing else was working. He sounds pushy and he wouldn't be so aggressive if he cared about getting yelled at. ,Unknown,Error,True
eif5181,"NTA If he acts like a 5yo, he gets treated like one! You're not his maid ffs","[VERDICT REMOVED] If he acts like a 5yo, he gets treated like one! You're not his maid ffs",Unknown,Error,True
eeqqtlo,"I'm really torn. I think either youre NTA or maybe you were an asshole-but-justifiable? If you feel bad for how you reacted, it never hurts to apologize and discuss the situation with the teacher. Maybe say something like ""i wanted to apologize for raising my voice the other day. I was worried, but that doesn't excuse shouting at you; it won't happen again"". But I absolutely wouldn't apologize for keeping your health private (she doesn't need to know your medical problem in front of the entire class. If she *does* need a reason, she could speak with you privately. And even then she doesn't need to know the details) or for leaving to go to the doctor. Hopefully she's a big enough person to accept your apology and apologize for her actions, too. ","I'm really torn. I think either youre [VERDICT REMOVED] or maybe you were an [VERDICT REMOVED]-but-justifiable? If you feel bad for how you reacted, it never hurts to apologize and discuss the situation with the teacher. Maybe say something like ""i wanted to apologize for raising my voice the other day. I was worried, but that doesn't excuse shouting at you; it won't happen again"". But I absolutely wouldn't apologize for keeping your health private (she doesn't need to know your medical problem in front of the entire class. If she *does* need a reason, she could speak with you privately. And even then she doesn't need to know the details) or for leaving to go to the doctor. Hopefully she's a big enough person to accept your apology and apologize for her actions, too. ",Unknown,Error,True
eifsj9d,"NTA, next time he wants sexy time, call him Oedipis. Lol! Really, he is being really juvenile with your reasonable requests","[VERDICT REMOVED], next time he wants sexy time, call him Oedipis. Lol! Really, he is being really juvenile with your reasonable requests",Unknown,Error,True
ejmwbq3,NTA. You should have lit her up right then and there. How rude of her. ,[VERDICT REMOVED]. You should have lit her up right then and there. How rude of her. ,Unknown,Error,True
eicujn2,NTA,[VERDICT REMOVED],Unknown,Error,True
ei7cn25,"Saying yes to Chris: Good person points. Saying no to second kid: NTA Saying no to whole family: for sure NTA Saying that Chris shouldn't come around? YTA You don't have to feed Chris when he comes around but if you are helping out a kid in need and it's no serious imposition on you then why don't you just reap the good karma and feel good about it? I realise this way of thinking isn't super popular in the states but in my opinion if it doesn't hurt you to be selfless you should do so, regardless of whether it lets some asshole off the hook. The parents are the assholes, not Chris, and he now gets punished for it. They probably only came around cos he's been openly grateful about your cooking at his home.","Saying yes to Chris: Good person points. Saying no to second kid: [VERDICT REMOVED] Saying no to whole family: for sure [VERDICT REMOVED] Saying that Chris shouldn't come around? [VERDICT REMOVED] You don't have to feed Chris when he comes around but if you are helping out a kid in need and it's no serious imposition on you then why don't you just reap the good karma and feel good about it? I realise this way of thinking isn't super popular in the states but in my opinion if it doesn't hurt you to be selfless you should do so, regardless of whether it lets some [VERDICT REMOVED] off the hook. The parents are the assholes, not Chris, and he now gets punished for it. They probably only came around cos he's been openly grateful about your cooking at his home.",Unknown,Error,True
