text,scheme_gold,inferred_scheme_output
not just exam passes but to be able to deal with things. Heather McGregor would just like to see Naomi Osaka play tennis. ,Default Inference,Ignorance
£50 per child is allowed. spending only £50 per child is crazy land.,Default Inference,Ignorance
Naomi Osaka's personality type is clearly helping her creativity and sporting performance. Peter Kyle does not see why it's not possible for Naomi Osaka sport and the people running her sport to make an individual decision about whether individual players can cope with being in the public eye or not. ,Default Inference,Ignorance
"there is no proper policy on test, trace, isolatation. we are playing the same game time and again. ",Default Inference,Ignorance
"there is no proper policy on test, trace, isolatation. we think about June 21st.",Default Inference,Ignorance
there are going to be young people leaving school very shortly. young people have had hardly any education for their final years. ,Default Inference,Ignorance
young people have had hardly any education for their final years. young people have had hardly any education for their final years is really worrying. ,Default Inference,Ignorance
Naomi Osaka withdrawing from the French Open due to mental health is such a difficult issue. it is impossible not to have sympathy for Naomi Osaka. ,Default Inference,Ignorance
people struggle with mental health it is really important to mention that. there shouldn't be any stigma attached to struggling with mental health. ,Default Inference,Ignorance
there shouldn't be any stigma attached to struggling with mental health. it was important for Naomi Osaka to withdraw from the French Open due mental health. ,Default Inference,Ignorance
other players bombed a game or played badly. other players may not want to do press conference. ,Default Inference,Ignorance
Naomi Osaka has done a lot for the Black Lives Matter movement. Naomi Osaka has come in for a lot of fl for doing a lot for the Black Lives matter movement. ,Default Inference,Ignorance
we should respect that lead sports people are higher at risk of mental health problems. we should treat lead sports people's mental health problems sensitively. ,Default Inference,Ignorance
"Gavin Williams was a Yorkshireman. 1.4 billion was a lot of money. yes, Gavin Williams sort of accepted that the 15 billion would have to go down to 1.4 billion.",Default Inference,Ignorance
there's been a large number of measures put in place. hopefully we are at the end of that period. ,Default Inference,Ignorance
people who are not home-owners and who are renting and are struggling to get by are being plunged into sheer insecurity. Lucy Frazer's response illustrates the entire lack of empathy people have. ,Default Inference,Ignorance
the only reason there's a transmission period is because people are going to be in court.. there should be a longer period of time before the end of tenant protection kicks in. ,Default Inference,Inconsistent Commitment
the government are temporarily propping up things in the very short term. Heather McGregor is more worried about what is happening over the much longer term. ,Default Inference,Ignorance
the longer term is way outside the life of this party. Heather McGregor has never joined a political party. ,Default Inference,Ignorance
we don't go forward. the Collins review does say the scarring effect would be 100 billion out of our committee.,Default Inference,Ignorance
what we need is more people that make a difference. Heather McGregor loved Tim Unknown calling out Marcus Rashford. ,Default Inference,Ignorance
there are measures in place that take the pandemic into account. even from 1 June in England you have to give four months' eviction notice.,Default Inference,Ignorance
there isn't enough money to support everybody. the teachers are supposed to choose which their students they leave to fend for themselves by xxx. ,Default Inference,Ignorance
we heard of so many lives lost that have been told to us in the last 18 or 15 months or however long it has been. we don't know who to trust.,Default Inference,Ignorance
"Naomi Osaka standing up on the subject of mental health called out the whole issue on the under 25 age group. Heather McGregor is very, very pleased that Naomi Osaka has stood up on the subject of mental health.",Default Inference,Ignorance
the prime minister has clearly said that the money spend on this measure is not the end of the money. we may very well be open to spending that additional money. ,Default Inference,Ignorance
"it must have been very, very difficult on you and it must have had an impact on your life. I feel for you in that situation. ",Default Inference,Ignorance
we shouldn't make policy. the policy is not evidence-based. waiting to review the evidence is what the Government should do. ,Default Inference,Ignorance
"we have another thing coming. we still don't have a test, trace and isolate programme in this country. we're just playing the same game time and time again. ",Default Inference,Ignorance
we should have been focusing on getting the data down. it was wrong to call it freedom day and signpost it so far in advance. ,Default Inference,Ignorance
when you do those kind of interviews day after day. Jenni Murray would have interviewed Naomi Osaka beautifully and gently and taken great care of her mental health. ,Default Inference,Ignorance
lots of performers can't cope with performing live emotionally. let's be a bit kinder to these people. ,Default Inference,Ignorance
in soccer you don't get every football player interviewed after the match. we should get the coaches on. ,Default Inference,Ignorance
Jenni Murray had had the opportunity on the day. Jenni Murray would have had Naomi Osaka on women's hour. ,Default Inference,Ignorance
Rishi Sunak cuts the money. Kevin Collins would have known the direction of travel. ,Default Inference,Ignorance
Tim Unknown is absolutely right that the government stands behind children and supports them. the government is committed to 1.4 billion for the schools catchup.,Default Inference,Ignorance
"when it comes to Jenni Murray's point about different scientists offering different points of view, as members of the public, we all are supposed to make xxx of it. we can't open up. ",Default Inference,Ignorance
"Peter Kyle has real sympathy with Andrea Unknown's point of 'why are we not making some kind of plan to encourage people to conform to the guides, the rules, the regulations that are there?'. we are not making some kind of plan to encourage people to conform to the guides and the rules and the regulations that are there because of xxx. ",Default Inference,Ignorance
the press are solely focused on what they can get out of that interview. somebody is there with a microphone stuck under the athletes' noses. ,Default Inference,Ignorance
women get far more abuse than men in social media and black people. let's be a bit kinder to these people. ,Default Inference,Ignorance
"Naomi Osaka decided she would no longer take part in post-match press matches. the world No. 2, Naomi Osaka, she pulled out the French Open.",Default Inference,Ignorance
"the world No. 2, Naomi Osaka, she pulled out the French Open. Naomi Osaka has been fined for pulling out of the French open.",Default Inference,Ignorance
"the world No. 2, Naomi Osaka, she pulled out the French Open. Naomi Osaka has been threatened with sanctions as well.",Default Inference,Ignorance
somebody is there with a microphone stuck under the athletes' noses. the athletes can barely breathe with a microphone under their nose. ,Default Inference,Ignorance
the athletes might not have played as well as they hoped they had. the athletes are very embarrassed. ,Default Inference,Ignorance
things eventually will get back to normal. looking at things is being done too early. don't say we're looking at things now. ,Default Inference,Ignorance
Naomi Osaka suddenly has a mental health problem. suddenly being accosted by the press is a problem for Naomi Osaka. Steven Unkown would have every sympathy with Naomi Osaka. ,Default Inference,Ignorance
we should have learned from what happened in Vietnam. we haven't done well but we haven't done as badly as some other countries. ,Established Rule,Ignorance
teachers have worked so hard over the last few months. the teachers of Sam Unkown's boys have been such a credit. ,Example,Ignorance
lead sports people are in the public eye. we should treat lead sports people's mental health problems sensitively. ,Example,Ignorance
"a community land trust is a fantastic area where the community has a proportion of land in a development which the community owns and is affordable housing for people who live and work locally. the government has a variety of measures to tackle what is a very, very difficult problem. ",Example,Ignorance
Jenni Murray lives in a quite well-off part of London and she is okay. people underestimate the amount of poverty this pandemic has caused. ,Example,Ignorance
it is important that we equip our young people. Heather McGregor sets out to equip our young people with skills and capabilities all the time. ,Expert Opinion,Ignorance
"Kevin Collins came up with what Jenni Murray presumes was a terrific plan. Jenni Murray was somewhat baffled when a real expert in education, Kevin Collins, was asked to be the author to show how we could get this serious situation up and running again. ",Expert Opinion,Ignorance
Kevin Collins really knew what he was talking about. Kevin Collins came up with what Jenni Murray presumes was a terrific plan. ,Expert Opinion,Ignorance
Anthony Costello wishes we had not had lockdowns and followed a much more oppressive policy. Anthony Costello is not arguing for another national lockdown. ,Expert Opinion,Ignorance
Anthony Costello is not arguing for another national lockdown. Anthony Costello would be going much more for a locally-led process to handling COVID. ,Expert Opinion,Ignorance
Anthony Costello wishes for a locally led process so that hotspots can be closed down quickly. Anthony Costello would be going much more for a locally-led process to handling COVID. ,Expert Opinion,Ignorance
we get this right as a country. the messaging is crystal clear based on scientific advice we all understand. ,Expert Opinion,Ignorance
"supporting teachers and catching up children are all things that Kevin Collins set out and said we ought to do. a real expert in education, Kevin Collins, was asked to be the author to show how we could get this serious situation up and running again. ",Expert Opinion,Ignorance
"the issue about one-to-one tuition is it might be a brilliant idea, it could be a brilliant idea. a real expert in education, Kevin Collins, was asked to be the author to show how we could get this serious situation up and running again. ",Expert Opinion,Ignorance
"Anthony Costello wishes we had not had lockdowns and followed a much more oppressive policy. we should have had a test, trace and isolate programme with properly supported isolation. ",Expert Opinion,Ignorance
"the Indian variant has evidence of vaccine escape. evidence came out today that you are 2.7 times more likely to end up in hospital with this variant compared to the Kent or Alpha variant. we have the Indian variant which is now thought to be 50 to 70 percent more transmissible. no, Anthony Costello doesn't think we should lift restrictions on 21 June.",Expert Opinion,Ignorance
"James Heckman showed how each dollar or pound of investment gets a fantastic return the earlier you start, from pregnancy, early childhood development, primary schooling, secondary schooling. James Heckman won his Nobel prize. ",Expert Opinion,Ignorance
levelling up is not about investing in our people. we don't know what levelling up is for. ,Ignorance,Ignorance
early in the lockdowns the scientists were poo-pooing masks saying this disease is transmitted by touch. the advice just keeps changing. ,Inconsistent Commitment,Ignorance
Boris Johnson spend more than £50 on his apartment. spending only £50 per child is crazy land.,Inconsistent Commitment,Ignorance
at the beginning we were told the pubs were staying open but don't go to them. everybody was confused. ,Inconsistent Commitment,Ignorance
where we got it really wrong is when there's ambiguity. we need absolutely crystal clarity so we can act together as a country and act together based on scientific advice we all understand. ,Inconsistent Commitment,Ignorance
"right now we are being told we have amber, green and red. the government should make their own mind up if it is amber. ",Inconsistent Commitment,Ignorance
everybody wanted to talk about mental health. we spent the whole session on mental health. ,Popular Opinion,Ignorance
lots and lots of people watching or on the panel will have had mental health problems or know people who have had that. we should respect that lead sports people are higher at risk of mental health problems. ,Popular Practice,Ignorance
most people are going to be living in rental accommodation. we need a functioning rental sector. ,Popular Practice,Ignorance
"Audience Member has been in that position of a very poor woman with children, living alone, with no resources, and no knowledge of how to argue these things and where to find help. Audience Member is really empathising with with what Jenni is saying. ",Position to Know,Ignorance
mental health is a big problem that we need to address. Heather was right to say we need to support young people in mental health. ,Position to Know,Ignorance
Kevin Collins was hired by the prime minister. Kevin Collins would have known the direction of travel. ,Position to Know,Ignorance
Heather McGregor doesn't think the virus is going away. Heather McGregor would like to see us work out a way to live with it on a longer term basis. ,Position to Know,Ignorance
we think herd policy doesn't work. we have always argued from independent SAGE for a suppression policy rather than a herd policy. ,Position to Know,Ignorance
we have a government that has a catchphrase about levelling up. Kevin Collin's report is very in line with what all the other countries similar to Britain and our committees are calling for. ,Position to Know,Ignorance
statistics are coming from Kevin Collins. Kevin Collin's report is very in line with what all the other countries similar to Britain and our committees are calling for. ,Position to Know,Ignorance
"it must have been very, very difficult on you and it must have had an impact on your life. Audience Member has been in a position where herself and her daughter were effectively homeless and it is a really horrible place to be. ",Position to Know,Ignorance
people who have lost their jobs need to have time so they can readjust to the new economy rather than plunging them into this insecurity. there should be some form of compensation that can ease the transition in. ,Practical Reasoning,Ignorance
rough sleeping is going to go through the roof. there should be some form of compensation that can ease the transition in. ,Practical Reasoning,Ignorance
there's going to be a huge turn in communities as people are kicked out of their homes inment. there should be some form of compensation that can ease the transition in. ,Practical Reasoning,Ignorance
it is really important we invest in young people. education is absolutely fundamentally important. ,Practical Reasoning,Ignorance
"the world is a tough, difficult place to be. as universities we have a responsibility to people between the ages of 17 and 24 or whatever to equip them to go out into the world.",Practical Reasoning,Ignorance
we in universities are dealing with people coming inadequately prepared for coming to uni. 100 extra hours of teaching a year for sixth formers are needed.,Practical Reasoning,Ignorance
we in universities are dealing with people coming inadequately prepared for coming to uni. more funding for disadvantaged sixth formers is needed. ,Practical Reasoning,Ignorance
"every profession having people from different background and types is driving creativity, whether sporting or artistic, politics, public life or any other walk of life, is informed by people's backgrounds. every profession needs to have people from different backgrounds and apparently types. ",Practical Reasoning,Ignorance
we think about June 21st. the government should follow xxx scientific advice concerning the lockdown measures.,Practical Reasoning,Ignorance
we must keep this virus down. we can't open up. ,Practical Reasoning,Ignorance
we mustn't let it spread again. we can't open up. ,Practical Reasoning,Ignorance
Jenni Murray would love to have a good life for so long as she may have left. Jenni Murray would love life to go back to normal. ,Practical Reasoning,Ignorance
Jenni Murray would love life to go back to normal. when it is rainy and cold Jenni Murray would love to go inside a restaurant with my family and friends. ,Practical Reasoning,Ignorance
Kevin Collins's plan of £15 billion was a long-term plan for kids. kids really need help. Kevin Collins came up with what Jenni Murray presumes was a terrific plan.,Practical Reasoning,Ignorance
business cannot live with this kind of knee-jerk reaction. we need a permanent long-term solution. ,Practical Reasoning,Ignorance
business cannot live with this kind of knee-jerk reaction. the reaction to me is much too immediate and not really long term enough. ,Practical Reasoning,Ignorance
we will have more money for things like education that have much bigger long term implications. the sooner we can do find a way to let business operate. ,Practical Reasoning,Ignorance
we are going to be living with this virus for a very long time. we need a permanent long-term solution. ,Practical Reasoning,Ignorance
we should follow the data rather than the dates. it is impossible for people and businesses to figure out when we are going to be able to open up. ,Practical Reasoning,Ignorance
we do need to draw some kind of line under this pandemic. we have to accept that COVID-19 is another disease among all of the other diseases that we have to deal with.,Practical Reasoning,Ignorance
we need a date. we need to have a balance between the economy and trying to save every single person going hospital. ,Practical Reasoning,Ignorance
we need to unlock. we need to have our people vaccinated. ,Practical Reasoning,Ignorance
Audience Member has no idea what Portugal being on the amber list means for them personally. Portugal is on the amber list. we need to be clear what is red and what is green. ,Practical Reasoning,Ignorance
100 million hours of one to one tuition is going to support teachers. the evidence says one-to-one tuition will really ensure that children catch up. what 1.4 billion is going towards is one-to-one tuition.,Practical Reasoning,Ignorance
we know wearing a mask works. lets make wearing a mask mandatory. ,Practical Reasoning,Ignorance
we know wearing a mask works. let's make it an offence not to wear a mask. ,Practical Reasoning,Ignorance
"we have to ensure that students are behind the measure. the Department of Education is reviewing the support of the unions, parents and students. ",Practical Reasoning,Ignorance
you want people to vote for you. you have to do something about education founding otherwise you have lost that age group. ,Practical Reasoning,Ignorance
building a sustainable housing market is fundamental. we have a planning bill that is coming to the House which will encourage and ensure that we have sufficient housing stock. ,Practical Reasoning,Ignorance
"we should have had a test, trace and isolate programme with properly supported isolation. we should have invested. ",Practical Reasoning,Ignorance
we can properly isolate and suppress the virus. the Labour Party said months ago everybody who comes into the country should be hotel-isolated. ,Practical Reasoning,Ignorance
affordable housing using new technologies which are environmentally friendly. we can solve the problem of eviction alongside progressive policies. ,Practical Reasoning,Ignorance
we can solve the problem of eviction alongside progressive policies. we can use progressive policies to ensure that people don't lose their homes. ,Practical Reasoning,Ignorance
the press are solely focused on what they can get out of that interview. it should reflect back on the press and they should be limited in their access. ,Practical Reasoning,Ignorance
in order to have a properly functioning rental sector. the time has come to lift the eviction ban. ,Practical Reasoning,Ignorance
we need restrictions on indoor mixing and the wearing of masks. we should or should not lift restrictions on 21 June.,Practical Reasoning,Ignorance
things could very quickly get out of control. what we have to do is watch the data extremely carefully in the next two to three weeks. ,Practical Reasoning,Ignorance
there's a big difference between being told we have to wear masks on 21 June and actually stopping things opening. we should or should not lift restrictions on 21 June.,Practical Reasoning,Ignorance
the athletes can barely breathe with a microphone under their nose. the athletes should be left alone. ,Practical Reasoning,Ignorance
we haven't given the money and the contact traces that we need. we must devolve power and resources to local public health teams. ,Practical Reasoning,Ignorance
children are our future. we need children not just to be invested in through the education system but in all policies. ,Practical Reasoning,Ignorance
"the COVID-19 pandemic is a kind of tea party compared to the disaster of climate change that we're going to face. children need to have investment in all kinds of things such as play areas, transport, food systems, agriculture, environment, to reshape their lives for the future.",Practical Reasoning,Ignorance
Kevin Collin's report is very in line with what all the other countries similar to Britain and our committees are calling for. Kevin Collins report was very obvious what it was going to report for quite a long time leading up to it. ,Precedent,Ignorance
we heard from the audience that the education budget cut is failing children. in five years' time the education budget cut will be failing business. ,Precedent,Ignorance
there's twice as many people living in rentals now than four years ago. most people are going to be living in rental accommodation. ,Random Sample to Population,Ignorance
people will not be skilled for the jobs that will be needed in the post-COVID economy. in five years' time the education budget cut will be failing business. ,Slippery Slope,Ignorance
"we haven't done well but we haven't done as badly as some other countries. let's move forward, get the population vaccinated, get out of it and move forward with sensible ideas that will allow us to regain our lives. ",Sunk Costs,Ignorance
"women get far more abuse than men in social media and black people. Naomi Osaka is a black woman and she gets tremendous abuse, no doubt on social media. ",Verbal Classification,Ignorance
the teachers of Sam Unkown's boys have worked so hard with the kids. it is so unfair that the funding for school catch-up is not going to be there. ,Witness Testimony,Ignorance
teachers have worked so hard over the last few months. it is disheartening to know that funding for school catch-up is going to be cut. ,Witness Testimony,Ignorance
Jenni Murray feels frightend by getting said how little protection she has with her double vaccine. Jenni Murray's age group is kind of the most at-risk one. Jenni Murray is scared of getting the corona virus. ,Witness Testimony,Inconsistent Commitment
